gen,chase,align,cohension,separate
1,271.5829296064633,317.3303941734436,242.02167230975726,260.5801785113557
2,201.82796042538777,406.2389729834783,328.3657736688123,273.32549885376125
3,201.22910827065334,405.30120651352746,327.9478211725001,271.5635420395546
4,201.04579302228063,403.1714818118022,329.10757205674787,272.8245263025076
5,201.345318847708,401.75106163703214,329.8236443884057,271.72731018901317
6,199.98092732013228,400.64342504309946,331.93100009187384,271.0679535937081
7,200.66683481219565,400.54680965568616,330.45542233584905,271.1658200928838
8,201.1102548736386,400.9254294517575,330.04148434488764,273.0079673186647
9,200.67733116253223,401.5026191305147,328.024027949365,273.748079733031
10,201.14239543174435,401.85713634000336,327.453500272451,272.50924178614196
11,202.1429196196862,401.4496091013579,325.13697277098845,272.2834284856442
12,201.578066177491,403.3691280863744,324.0712965895545,275.99115254939625
13,198.49706520077387,401.57590088234616,325.0179647666448,275.9461318775691
14,198.7421177020358,400.5847433992213,324.66028794426234,275.05339696756624
15,202.24274481840638,401.7956251591716,325.08952408046054,273.5434803473267
16,202.8191249469476,401.74062753779515,325.06153911349867,269.10409026002435
17,203.4646439923646,403.67546287392815,325.4143152529805,269.7362704058208
18,204.2301936432315,402.2543702077237,326.1714485647991,269.0285454250264
19,202.8657816225761,400.76151895728776,326.49435561393824,268.9294279627869
20,204.140521841573,403.1766259411993,328.5535576114483,266.6417358946663
21,205.5434490002136,401.33509210410006,330.20498922052064,266.47938804956436
22,206.40678757733588,400.32675884876835,329.4039467517836,267.81755200575185
23,203.96272736856403,399.9414351691559,330.88114825726103,267.2222694879438
24,202.16385997397242,399.49175877220546,330.0403398176993,267.0816412876739
25,200.79722272250297,399.2849638342842,329.78227473276866,266.7883600338227
26,203.14902731906366,401.15922735268043,326.27499275986173,268.0833121029657
27,204.10392360028354,402.06910215447846,326.51743644966774,267.9408199262378
28,203.54655357518448,400.0954630610724,326.00649023924507,269.08517202921047
29,204.14074983994402,400.54534838299907,327.74824794719916,269.17215274593775
30,206.0009928881926,400.450921042216,328.72834805704974,270.5017472867291
31,205.43613807698173,398.53238127170374,325.2355345938053,273.96754715972423
32,203.4034286832021,399.2651445170557,323.5943017635371,275.5335991695791
33,205.22328213523014,399.3535053080041,323.67624880875553,277.1625299976139
34,205.2545917914216,398.4141637808583,322.4934392283572,276.764780268
35,205.43366628846698,396.9786865972445,320.98289582724504,276.67426440884407
36,203.38112435807767,400.62448573594435,320.7185271301544,275.90030056219615
37,203.62871872294292,398.0339609715861,319.4398256952546,277.2900969399123
38,203.89629774165402,396.41707145394037,318.90573783829024,278.7568558948392
39,203.56136658144285,396.2226139687678,318.52772876217114,281.2722492131214
40,204.20680209676755,395.6739451677133,319.56208220425884,279.5904784702505
